#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 07 10 50 351 12.4 16.6  3.34  9.09  6.42  63 1033.1   4.8  21.8   2.6 99.0 99.00
2017 01 07 11 50 346 11.6 15.8  3.17  9.09  6.09  62 1034.8   4.2  21.7   2.0 99.0 99.00
2017 01 07 12 50 350 10.8 15.4  3.10  9.09  6.22  69 1035.7   4.1  21.8   2.1 99.0 99.00
2017 01 07 13 50 349 11.9 14.2  3.15  8.33  6.27  57 1036.6   4.0  21.7   2.2 99.0 99.00
2017 01 07 14 50 352  9.8 12.6  2.84  8.33  6.22  58 1037.9   4.1  21.7   2.4 99.0 99.00
2017 01 07 15 50   6 10.5 17.2  2.74  9.09  5.99  59 1038.4   4.6  21.7   3.0 99.0 99.00
2017 01 07 16 50   9 10.3 15.1  2.48  8.33  5.72  58 1038.6   4.8  21.7   2.6 99.0 99.00
2017 01 07 17 50   3 11.3 14.4  2.62  8.33  6.04  67 1038.0   5.1  21.7   3.2 99.0 99.00
2017 01 07 18 50   9  9.5 12.3  2.52  6.67  5.74  41 1036.9   5.8  21.7   3.8 99.0 99.00
2017 01 07 19 50  10 10.4 13.7  2.46  7.69  5.86  58 1036.3   6.9  21.8   4.5 99.0 99.00
2017 01 07 20 50   7 10.1 13.5  2.19  8.33  5.51  60 1036.4   7.4  21.8   4.8 99.0 99.00
2017 01 07 21 50  16  8.3 11.4  2.13  7.14  5.52  61 1036.7   7.4  21.8   3.8 99.0 99.00
2017 01 07 22 50  19  8.7 12.4  2.08  8.33  5.63  70 1037.5   7.4  21.7   3.2 99.0 99.00
2017 01 07 23 50  21  7.7 10.5  2.21  8.33  5.78  70 1037.6   7.8  21.8   2.6 99.0 99.00
2017 01 08 00 50  25  8.4 10.8  2.07  7.69  5.65  68 1038.2   8.7  21.7   2.9 99.0 99.00
2017 01 08 01 50  15  7.5 11.0  1.90  8.33  5.45  75 1038.7   9.1  21.7   2.6 99.0 99.00
2017 01 08 02 50  27  6.1  8.6  1.93  7.14  5.49  64 1039.1   9.5  21.7   2.6 99.0 99.00
2017 01 08 03 50  39  6.9  8.8  1.83  8.33  5.61  70 1039.5  10.2  21.7   2.6 99.0 99.00
2017 01 08 04 50  27  4.3  7.6  1.68  7.69  5.37  77 1039.8  10.2  21.7   2.5 99.0 99.00
2017 01 08 05 50  15  4.2  7.0  1.77  7.69  5.68  67 1039.5  10.4  21.7   2.3 99.0 99.00
2017 01 08 06 50  15  4.7  6.6  1.67  6.67  5.45  61 1039.1  10.7  21.7   3.1 99.0 99.00
2017 01 08 07 50  14  3.1  5.8  1.48  7.14  5.40  81 1038.6  10.8  21.7   2.9 99.0 99.00
2017 01 08 08 50  36  5.9  7.6  1.52  6.67  5.39  72 1037.9  11.2  21.7   3.9 99.0 99.00
2017 01 08 09 50  36  4.6  6.7  1.61  7.69  5.46  79 1037.5  11.3  21.7   3.5 99.0 99.00
2017 01 08 10 50  44  5.5  7.5  1.44  7.69  5.28  90 1037.3  11.7  21.7   3.7 99.0 99.00
2017 01 08 11 50  32  4.2  6.2  1.48  7.14  5.58  76 1037.0  11.7  21.6   4.0 99.0 99.00
2017 01 08 12 50  22  4.4  6.1  1.48  7.14  5.46  77 1036.8  12.0  21.7   4.6 99.0 99.00
